id_espace_vert,nom_espace_vert,type_espace_vert,code_postal,arr_num,surface_m2
738,SQUARE EDOUARD VAILLANT,Promenades ouvertes,75020,20.0,8085.0
748,SQUARE DES SAINTS-SIMONIENS - MENILMONTANT,Promenades ouvertes,75020,20.0,9050.0
756,JARDIN NATUREL-PIERRE EMMANUEL,Promenades ouvertes,75020,20.0,6300.0
10902,JARDINIERE RUE DE MEAUX,Décorations sur la voie publique,75019,19.0,30.0
10286,DECORATION DE LA TOUR EIFFEL,Décorations sur la voie publique,75007,7.0,147.0
10833,JARDINIERE DE LA PLACE DE MEXICO,Décorations sur la voie publique,75016,16.0,16.0
10879,JARDINIERES DE LA RUE DU MONT CENIS,Décorations sur la voie publique,75018,18.0,14.0
10899,JARDINIERE DU SQUARE DU PETIT BOIS,Décorations sur la voie publique,75019,19.0,244.0
11469,JARDINIERES DE LA RUE CHARLES MONSELET,Décorations sur la voie publique,75019,19.0,225.0
11473,JARDINIERES DE LA CITE DE LA MUSIQUE,Décorations sur la voie publique,75019,19.0,320.0
199,32-02,Périphérique,75012,12.0,3834.0
648,23-27,Périphérique,75018,18.0,3046.0
11606,17-99-08,Périphérique,75017,17.0,240.0
11663,13-07,Périphérique,75016,16.0,1232.0
11672,15-02,Périphérique,75016,16.0,5791.0
11713,JARDINIERE VERTICALE DU 36 RUE NICOLAI,Murs végétalisés,75012,12.0,1.0
11734,TALUS DU QUAI D'ISSY LES MOULINEAUX,Périphérique,75015,15.0,7600.0
10922,JARDINIERES DE LA RUE MOURAUD,Décorations sur la voie publique,75020,20.0,80.0
11795,JARDIN DE L'HOPITAL SAINT-LOUIS,Promenades ouvertes,75010,10.0,9400.0
11801,JARDINIERES DE LA RUE DES MARTYRS,Décorations sur la voie publique,75009,9.0,190.0
11809,JARDINIERE VERTICALE DE LA RUE THEODORE HAMONT,Murs végétalisés,75012,12.0,0.0
11849,JARDIN PARTAGE DU SQUARE RENE LE GALL,"Ephémères, partagés, pédagogiques",75013,13.0,200.0
11805,JARDINIERE DU PARVIS DE L'EGLISE NOTRE-DAME DE LORETTE,Décorations sur la voie publique,75009,9.0,20.0
12094,JARDINIERE VERTICALE DU PARC OMNISPORT SUZANNE LENGLEN,Murs végétalisés,75015,15.0,2125.0
12167,JARDINIERES DE LA PROMENADE SPORTIVE DU BOULEVARD DE CHARONNE,Décorations sur la voie publique,75011,11.0,1040.0
12916,JARDINIERES DE LA RUE EVA KOTCHEVER,Décorations sur la voie publique,75018,18.0,186.0
12917,JARDINIERES DE LA RUE DE LA CONCERTATION,Décorations sur la voie publique,75018,18.0,160.0
12983,JARDINIERES EVQ DE LA RUE ERARD,Décorations sur la voie publique,75012,12.0,600.0
160,JARDINET DE LA RUE ALPHONSE BAUDIN,Jardinets décoratifs,75011,11.0,400.0
12070,JARDINIERE VERTICALE DU SQUARE DE L'ASPIRANT DUNAND 2,Murs végétalisés,75014,14.0,41.0
12087,JARDINIERE VERTICALE DU SQUARE SAINT-LAMBERT 1,Murs végétalisés,75015,15.0,103.0
12173,JARDINIERES DE LA RUE DE BELLEVUE,Décorations sur la voie publique,75019,19.0,90.0
12890,JARDINIERES DE LA RUE DU DELTA,Décorations sur la voie publique,75009,9.0,120.0
12957,JARDINIERES EVQ DE LA RUE ANTOINE DUBOIS,Décorations sur la voie publique,75006,6.0,67.0
13001,JARDINIERES RAE DE LA RUE EDOUARD PAILLERON,Décorations sur la voie publique,75019,19.0,446.0
13173,JARDINIERES LEDRU ROLLIN,Décorations sur la voie publique,75012,12.0,302.0
13181,JARDINIERES EVQ DE LA  RUE EVARISTE GALOIS,Décorations sur la voie publique,75020,20.0,110.0
13000,JARDINIERES EVQ DE LA RUE DE MEAUX,Décorations sur la voie publique,75019,19.0,
13004,JARDINIERES VGA DE LA RUE DE  LAGNY,Décorations sur la voie publique,75020,20.0,1293.0
307,JARDIN LIONEL ASSOUAD,Promenades ouvertes,75014,14.0,4750.0
13164,JARDINIERES DE LA RUE THIMONNIER,Décorations sur la voie publique,75009,9.0,
13170,JARDINIERES EVQ DE LA RUE DE TOURNON,Décorations sur la voie publique,75006,6.0,275.0
13208,JARDINIERES DE LA RUE DE PETRELLE,Décorations sur la voie publique,75009,9.0,
13191,JARDINIERES RAE DE LA RUE JEAN DOLENT,Décorations sur la voie publique,75014,14.0,124.0
13187,JARDINIERES EVQ DE LA RUE VANDAMME,Décorations sur la voie publique,75014,14.0,
13174,JARDINS DES CHAMPS ELYSEES- CARRE DES FETES,Promenades ouvertes,75008,8.0,4786.0
13122,JARDINIERES EVQ DE LA RUE LANTIEZ,Décorations sur la voie publique,75017,17.0,
11107,SQUARE MICHEL FOUCAULT,Jardinets décoratifs,75005,5.0,550.0
11310,JARDINS ROSA LUXEMBURG,Promenades ouvertes,75018,18.0,8350.0
