annee,arrondissement,code_postal,ville,nb_plai,nb_plus,nb_pls
2018,18,75018,Paris,0,2,0
2018,11,75011,Paris,12,16,38
2018,17,75017,Paris,5,0,0
2018,14,75014,Paris,0,0,35
2018,18,75018,Paris,28,0,0
2018,11,75011,Paris,1,0,0
2018,1,75001,Paris,17,17,0
2018,13,75013,Paris,0,274,183
2019,17,75017,Paris,0,1,0
2019,17,75017,Paris,1,0,0
2019,3,75003,Paris,7,5,3
2019,14,75014,Paris,0,0,15
2019,13,75013,Paris,0,0,1
2019,10,75010,Paris,15,9,6
2019,20,75020,Paris,7,7,15
2020,13,75013,Paris,2,0,0
2020,13,75013,Paris,2,0,0
2020,14,75014,Paris,1,0,0
2020,13,75013,Paris,0,0,2
2020,14,75014,Paris,76,0,0
2021,13,75013,Paris,0,0,2
2021,13,75013,Paris,0,0,3
2021,4,75004,Paris,7,5,0
2021,18,75018,Paris,1,0,0
2021,20,75020,Paris,8,4,4
2021,13,75013,Paris,5,0,4
2021,9,75009,Paris,1,0,0
2021,13,75013,Paris,0,58,88
2021,18,75018,Paris,0,35,103
2021,20,75020,Paris,0,0,21
2022,13,75013,Paris,0,1,0
2022,17,75017,Paris,1,0,0
2022,19,75019,Paris,12,17,12
2022,17,75017,Paris,11,8,0
2022,14,75014,Paris,1,0,0
2023,19,75019,Paris,0,0,20
2023,15,75015,Paris,8,0,8
2023,14,75014,Paris,1,0,6
2023,10,75010,Paris,30,30,26
2023,18,75018,Paris,11,0,0
2023,17,75017,Paris,7,5,0
2023,18,75018,Paris,6,7,5
2023,4,75004,Paris,5,3,2
2023,14,75014,Paris,6,6,6
2024,13,75013,Paris,0,0,1
2024,7,75007,Paris,2,2,0
2024,20,75020,Paris,17,16,15
2001,12,75012,Paris,0,18,0
2001,12,75012,Paris,12,0,0
2001,14,75014,Paris,64,0,0
2001,12,75012,Paris,0,0,24
2001,13,75013,Paris,0,103,0
2001,13,75013,Paris,0,39,60
2001,18,75018,Paris,0,16,0
2001,6,75006,Paris,0,5,0
2001,19,75019,Paris,0,0,21
2002,2,75002,Paris,0,30,0
2002,10,75010,Paris,0,9,0
2002,2,75002,Paris,0,11,0
2002,10,75010,Paris,17,31,0
2002,13,75013,Paris,0,0,30
2003,13,75013,Paris,0,0,29
2003,9,75009,Paris,28,98,13
2003,9,75009,Paris,0,22,0
2003,9,75009,Paris,2,7,0
2003,10,75010,Paris,0,45,0
2003,19,75019,Paris,0,4,0
2003,13,75013,Paris,32,0,0
2004,2,75002,Paris,6,21,0
2004,18,75018,Paris,0,42,0
2004,10,75010,Paris,0,6,10
2004,9,75009,Paris,0,4,0
2004,13,75013,Paris,0,5,0
2004,10,75010,Paris,6,14,6
2004,14,75014,Paris,4,0,0
2004,13,75013,Paris,0,76,0
2004,20,75020,Paris,11,33,0
2005,12,75012,Paris,5,0,0
2005,17,75017,Paris,18,0,0
2005,15,75015,Paris,1,8,8
2005,10,75010,Paris,0,3,0
2005,3,75003,Paris,4,17,0
2005,18,75018,Paris,10,15,0
2005,18,75018,Paris,6,12,0
2006,18,75018,Paris,0,10,0
2006,15,75015,Paris,0,0,16
2006,12,75012,Paris,1,0,0
2006,6,75006,Paris,7,8,0
2006,14,75014,Paris,0,206,0
2006,12,75012,Paris,0,0,6
2006,20,75020,Paris,2,0,0
2006,19,75019,Paris,0,0,166
2006,18,75018,Paris,0,12,0
2006,5,75005,Paris,2,5,7
2006,14,75014,Paris,16,0,0
2006,19,75019,Paris,0,9,0
2007,12,75012,Paris,0,9,3
2007,4,75004,Paris,3,0,0
2007,19,75019,Paris,9,0,0
2007,20,75020,Paris,9,0,0
2007,20,75020,Paris,240,0,0
2007,20,75020,Paris,0,5,0
2007,19,75019,Paris,0,0,8
2007,15,75015,Paris,0,7,0
2008,19,75019,Paris,29,0,0
2008,17,75017,Paris,1,8,0
2008,11,75011,Paris,4,0,0
2008,11,75011,Paris,3,7,0
2008,18,75018,Paris,0,0,16
2008,12,75012,Paris,1,0,0
2008,16,75016,Paris,0,1,0
2008,1,75001,Paris,0,10,0
2008,3,75003,Paris,0,8,0
2008,4,75004,Paris,0,7,0
2008,18,75018,Paris,0,7,0
2008,10,75010,Paris,3,0,0
2009,15,75015,Paris,0,175,0
2009,19,75019,Paris,0,0,27
2009,16,75016,Paris,0,1,0
2009,17,75017,Paris,0,3,0
2009,14,75014,Paris,3,34,16
2009,20,75020,Paris,0,4,4
2009,13,75013,Paris,164,0,0
2009,13,75013,Paris,0,35,0
2009,13,75013,Paris,0,21,0
2009,19,75019,Paris,2,0,0
2009,18,75018,Paris,1,0,0
2010,10,75010,Paris,22,50,18
2010,3,75003,Paris,15,0,0
2010,13,75013,Paris,2,0,0
2010,18,75018,Paris,0,7,0
2010,13,75013,Paris,0,2,0
2010,20,75020,Paris,0,1,0
2010,15,75015,Paris,5,14,5
2010,9,75009,Paris,6,13,0
2010,20,75020,Paris,2,13,4
2010,14,75014,Paris,0,8,0
2010,18,75018,Paris,0,1,0
2010,11,75011,Paris,4,8,0
2010,18,75018,Paris,0,0,0
2011,3,75003,Paris,7,14,7
2011,7,75007,Paris,6,0,0
2011,20,75020,Paris,0,0,64
2011,14,75014,Paris,2,6,3
2011,16,75016,Paris,9,19,10
2011,17,75017,Paris,29,73,44
2011,13,75013,Paris,0,1,0
2011,3,75003,Paris,0,11,0
2011,6,75006,Paris,71,0,0
2011,19,75019,Paris,0,0,4
2011,18,75018,Paris,0,3,0
2012,16,75016,Paris,37,0,0
2012,18,75018,Paris,0,0,0
2012,8,75008,Paris,7,17,7
2012,9,75009,Paris,0,0,6
2012,13,75013,Paris,0,1,0
2012,18,75018,Paris,3,6,6
2012,12,75012,Paris,4,22,10
2012,13,75013,Paris,0,0,12
2012,19,75019,Paris,0,7,4
2012,5,75005,Paris,0,1,0
2013,13,75013,Paris,0,1,0
2013,9,75009,Paris,5,8,5
2013,20,75020,Paris,0,5,4
2013,1,75001,Paris,24,48,24
2013,12,75012,Paris,0,0,1
2013,13,75013,Paris,8,30,37
2013,16,75016,Paris,1,0,0
2013,16,75016,Paris,3,20,11
2013,19,75019,Paris,0,0,20
2013,20,75020,Paris,40,0,0
2013,15,75015,Paris,0,24,0
2013,18,75018,Paris,2,5,2
2014,17,75017,Paris,0,2,0
2014,2,75002,Paris,1,0,0
2014,11,75011,Paris,1,0,0
2014,11,75011,Paris,17,46,22
2014,15,75015,Paris,13,24,16
2014,10,75010,Paris,1,20,0
2014,11,75011,Paris,2,0,0
2014,18,75018,Paris,0,57,57
2014,19,75019,Paris,0,0,1
2014,15,75015,Paris,0,0,1
2014,20,75020,Paris,1,0,0
2014,14,75014,Paris,14,33,0
2015,10,75010,Paris,0,1,0
2015,17,75017,Paris,0,1,0
2015,20,75020,Paris,0,0,30
2015,11,75011,Paris,6,0,0
2015,13,75013,Paris,23,32,23
2015,13,75013,Paris,48,64,48
2015,17,75017,Paris,3,0,0
2015,20,75020,Paris,4,0,0
2015,11,75011,Paris,0,0,25
2015,14,75014,Paris,4,4,0
2015,19,75019,Paris,0,2,0
2015,19,75019,Paris,0,0,13
2015,12,75012,Paris,75,98,75
2015,14,75014,Paris,21,50,71
2016,14,75014,Paris,0,1,0
2016,19,75019,Paris,0,1,2
2016,13,75013,Paris,0,154,0
2016,12,75012,Paris,11,6,5
2016,12,75012,Paris,7,9,4
2016,8,75008,Paris,7,4,0
2016,20,75020,Paris,1,0,0
2016,2,75002,Paris,5,0,0
