annee,arrondissement,code_postal,ville,nb_plai,nb_plus,nb_pls
2021,17,75017,Paris,2,2,3
2021,19,75019,Paris,0,0,8
2021,20,75020,Paris,52,35,0
2021,18,75018,Paris,18,25,18
2021,2,75002,Paris,8,5,0
2021,20,75020,Paris,5,6,5
2021,5,75005,Paris,15,10,0
2022,4,75004,Paris,0,1,0
2022,13,75013,Paris,0,2,0
2022,2,75002,Paris,2,3,0
2022,11,75011,Paris,0,41,0
2022,15,75015,Paris,7,5,6
2022,20,75020,Paris,0,0,60
2023,20,75020,Paris,4,0,0
2023,20,75020,Paris,0,0,36
2023,14,75014,Paris,1,0,0
2023,17,75017,Paris,10,10,9
2024,20,75020,Paris,4,4,3
2024,15,75015,Paris,0,24,54
2024,7,75007,Paris,11,7,0
2024,10,75010,Paris,0,22,0
2024,11,75011,Paris,5,3,5
2024,10,75010,Paris,2,0,0
2024,14,75014,Paris,7,7,6
2024,19,75019,Paris,0,19,0
2001,20,75020,Paris,0,16,0
2001,18,75018,Paris,0,0,69
2001,12,75012,Paris,0,39,0
2002,13,75013,Paris,12,44,28
2002,11,75011,Paris,52,0,0
2003,13,75013,Paris,0,0,15
2003,20,75020,Paris,13,0,0
2003,16,75016,Paris,6,16,0
2003,20,75020,Paris,0,0,5
2003,17,75017,Paris,16,0,0
2003,17,75017,Paris,25,0,0
2004,20,75020,Paris,0,4,0
2004,19,75019,Paris,0,0,24
2004,14,75014,Paris,4,17,0
2004,15,75015,Paris,0,7,0
2004,10,75010,Paris,1,0,0
2004,11,75011,Paris,45,0,0
2005,18,75018,Paris,0,243,0
2005,15,75015,Paris,0,56,56
2005,11,75011,Paris,0,0,18
2005,18,75018,Paris,0,0,4
2005,18,75018,Paris,0,0,6
2005,12,75012,Paris,0,32,0
2005,8,75008,Paris,13,0,0
2005,18,75018,Paris,0,6,0
2005,3,75003,Paris,0,0,14
2005,3,75003,Paris,3,7,0
2006,19,75019,Paris,0,0,173
2006,19,75019,Paris,0,0,187
2006,11,75011,Paris,0,2,0
2006,18,75018,Paris,0,20,0
2006,18,75018,Paris,0,7,0
2006,20,75020,Paris,2,0,0
2007,18,75018,Paris,26,0,0
2007,20,75020,Paris,0,6,0
2007,9,75009,Paris,4,6,0
2007,11,75011,Paris,8,15,9
2007,9,75009,Paris,4,9,0
2007,17,75017,Paris,0,0,0
2007,20,75020,Paris,0,30,0
2007,11,75011,Paris,54,0,0
2007,18,75018,Paris,0,8,0
2007,14,75014,Paris,0,0,344
2007,15,75015,Paris,0,5,0
2007,19,75019,Paris,0,2,10
2008,20,75020,Paris,126,0,0
2008,10,75010,Paris,5,14,6
2008,15,75015,Paris,0,0,29
2008,9,75009,Paris,17,50,17
2008,15,75015,Paris,28,0,0
2008,17,75017,Paris,0,11,0
2008,11,75011,Paris,8,16,0
2008,12,75012,Paris,25,0,0
2008,13,75013,Paris,0,0,42
2008,1,75001,Paris,0,7,0
2008,3,75003,Paris,0,5,0
2008,19,75019,Paris,0,1,0
2008,18,75018,Paris,18,0,0
2008,20,75020,Paris,2,2,0
